pval,qval,G,gene_short_name,ensembl_gene_id,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
1.01783594668599E-011,6.78274137129399E-010,G23050,RPS15,ENSG00000115268,6209,2.7725895039,2148,FALSE
1.02176874888789E-011,6.78274137129399E-010,G23376,GADD45GIP1,ENSG00000179271,90480,2.841302254,1956,FALSE
1.03835753216555E-011,6.84254875940922E-010,G16159,HSPA8,ENSG00000109971,3312,2.2703672544,2159,FALSE
1.32222322775153E-011,8.65002268126146E-010,G25545,MKL1,ENSG00000196588,57591,3.2854022189,901,FALSE
1.40097397017671E-011,9.09927554155063E-010,G18580,ZFP36L1,ENSG00000185650,677,5.1598691799,895,TRUE
1.49146888544912E-011,0.000000001,G8725,PTP4A1,ENSG00000112245,7803,2.8351891303,1877,FALSE
1.55063829070903E-011,0.000000001,G15284,LDHA,ENSG00000134333,3939,3.5313814605,1527,FALSE
1.57399982216583E-011,0.000000001,G23652,RBM42,ENSG00000126254,79171,3,1642,FALSE
1.59912173755454E-011,0.000000001,G5559,EIF4A2,ENSG00000156976,1974,2.4134201275,2162,FALSE
1.73897488746427E-011,1.07530584137174E-009,G14523,NEURL1,ENSG00000107954,9148,2.899473124,1490,FALSE
1.72800939949176E-011,1.07530584137174E-009,G18544,HIF1A,ENSG00000100644,3091,3.269460675,1766,FALSE
1.73537419050899E-011,1.07530584137174E-009,G612,SRP9,ENSG00000143742,6726,2.4594316186,2080,FALSE
1.87513633052125E-011,1.1374606503677E-009,G25249,RCAN1,ENSG00000159200,1827,3.4059923597,720,FALSE
1.87728884475839E-011,1.1374606503677E-009,G4989,LAMB2,ENSG00000172037,3913,3.1085244568,743,FALSE
1.85597936621128E-011,1.1374606503677E-009,G8245,HIST1H4C,ENSG00000197061,8364,2.9893527558,2002,FALSE
1.89880745902537E-011,1.1428289160054E-009,G15067,MRPL23,ENSG00000214026,6150,2.6374299206,1648,FALSE
2.07265901833283E-011,1.23105036957295E-009,G20576,MT1G,ENSG00000125144,4495,4.6438561898,445,TRUE
2.07265650379432E-011,1.23105036957295E-009,G24103,PTOV1,ENSG00000104960,53635,2.3923174228,1885,FALSE
2.18051208528486E-011,1.28664464744783E-009,G11104,LY6E,ENSG00000278032,4061,3.1154772174,1142,FALSE
2.19487925619388E-011,1.2867123327869E-009,G22984,ISOC2,ENSG00000063241,79763,2.5025003405,1107,TRUE
2.56326352116196E-011,1.49297697219679E-009,G23488,CCDC124,ENSG00000007080,115098,3.1699250014,1680,FALSE
2.69687207118542E-011,1.5507873285772E-009,G11588,PRSS3,ENSG00000010438,5646,4.4594316186,834,TRUE
2.68548966591325E-011,1.5507873285772E-009,G15655,NUDT22,ENSG00000149761,84304,2.6629650127,1314,FALSE
2.75262978138887E-011,1.57283175103663E-009,G20247,SMIM22,ENSG00000267795,440335,2.9385994553,1686,FALSE
2.95440816152572E-011,1.67750923787762E-009,G23281,MRPL4,ENSG00000105364,51073,2.969626351,1410,FALSE
3.05257588529626E-011,1.72241594327841E-009,G12205,PHPT1,ENSG00000054148,29085,2.8665288265,2142,FALSE
3.54927052128584E-011,0.000000002,G13568,TTTY15,ENSG00000233864,64595,3.4262647547,633,TRUE
3.75694422601258E-011,2.09368472052108E-009,G23532,NDUFA13,ENSG00000186010,51079,2.6963236097,2171,FALSE
4.12569323095596E-011,2.27114381030917E-009,G12189,EGFL7,ENSG00000172889,51162,3.8544100255,1117,FALSE
4.11115770534313E-011,2.27114381030917E-009,G23087,GADD45B,ENSG00000099860,4616,3.2854022189,664,FALSE
4.2000027833666E-011,2.29803788655961E-009,G2807,USP34,ENSG00000115464,9736,2.8073549221,1721,FALSE
4.24000513573258E-011,2.30494497231632E-009,G20838,CYBA,ENSG00000051523,1535,3.2853832483,920,TRUE
4.26368863953063E-011,2.30494497231632E-009,G23160,RPL36,ENSG00000130255,25873,2.7741880581,2181,FALSE
4.36504553547303E-011,2.34569232703872E-009,G23009,TPGS1,ENSG00000141933,91978,2.5235619561,1128,FALSE
4.72053038239464E-011,2.52171291670171E-009,G15745,DRAP1,ENSG00000175550,10589,2.8579809951,1863,FALSE
5.20538961697646E-011,2.76436808600373E-009,G8214,C6orf62,ENSG00000112308,81688,2.9475325801,2050,FALSE
5.2503636870809E-011,2.77194639572903E-009,G23080,SF3A2,ENSG00000104897,8175,2.8744691179,1099,FALSE
6.14967237211741E-011,3.22786291717883E-009,G3703,CHCHD5,ENSG00000125611,84269,3,1496,FALSE
